1,New York MTA,NY MTA,New York,NY,US,926608290,2755972840,,3682581130,40.7127837,-74.0059413,1,0
2,Toronto Transit Commission,TTC,Toronto ,ON,CA,432739900,410379700,,843119600,43.653226,-79.3831843,2,0
3,Societe de transport de Montreal,STM,Montreal ,QC,CA,235459100,353943600,,589402700,45.5086699,-73.5539925,3,0
4,Chicago Transit Authority,CTA,Chicago,IL,US,314423578,231154339,,545577917,41.8781136,-87.6297982,4,0
5,Los Angeles County Metropolitan Transportation Authority,LACMTA,Los Angeles,CA,US,360002885,101516533,,461519418,34.0522342,-118.2436849,5,0
6,Washington Metropolitan Area Transit Authority,WMATA,Washington DC,DC,US,136795328,285306675,,422102003,38.9071923,-77.0368707,6,0
7,Massachusetts Bay Transportation Authority,MBTA,Boston,MA,US,119746692,279260710,,399007402,42.3584308,-71.0597732,7,0
8,Southeastern Pennsylvania Transportation Authority,SEPTA,Philadelphia,PA,US,195991796,165750206,,361742002,39.952335,-75.163789,8,0
9,South Coast BC Transportation Authority,Translink,Burnaby ,BC,CA,238340000,123312000,,361652000,49.2294908,-123.0025753,9,0
10,New Jersey Transit Corporation,NJ Transit,Newark,NJ,US,161680466,103174811,,264855277,40.735657,-74.1723667,10,0
11,San Francisco Municipal Railway,MUNI,San Francisco,CA,US,163169789,58956155,,222125944,37.7749295,-122.4194155,11,0
12,City of Ottawa OC Transpo,OC Transpo,Ottawa ,ON,CA,142280000,3569200,,145849200,45.4215296,-75.6971931,12,0
13,King County Department of Transportation,KC Metro,Seattle,WA,US,114562685,19786989,,134349674,47.6062095,-122.3320708,13,0
14,Metropolitan Atlanta Rapid Transit Authority,MARTA,Atlanta,GA,US,61596727,72711487,,134308214,33.7489954,-84.3879824,14,0
15,Edmonton Transit System,,Edmonton ,AB,CA,100976700,31365000,,132341700,53.544389,-113.4909267,15,0
16,San Francisco Bay Area Rapid Transit,BART,Oakland,CA,US,0,118674764,,118674764,37.8043637,-122.2711137,16,0
17,Maryland Transit Administration,MTA,Baltimore,MD,US,77865314,32527677,,110392991,39.2903848,-76.6121893,17,0
18,Miami-Dade Transit,MDT,Miami,FL,US,77858973,27808533,,105667506,25.7890972,-80.2040435,18,0
19,Tri-County Metropolitan Transportation District of Oregon,TriMet,Portland,OR,US,59509235,42645874,,102155109,45.5234515,-122.6762071,19,0
20,Denver Regional Transportation District,RTD,Denver,CO,US,76716999,20639068,,97356067,39.737567,-104.9847179,20,0
21,San Diego Metropolitan Transit System,MTS,San Diego,CA,US,52106459,32654613,,84761072,32.715738,-117.1610838,21,1
22,Calgary Transit,,Calgary ,AB,CA,76072100,6500000,,82572100,51.0453246,-114.0581012,22,1
23,Metro Transit (Minneapolis),,Minneapolis,MN,US,69854994,11198512,,81053506,44.983334,-93.26667,23,1
24,Metropolitan Transit Authority of Harris County,Metro,Houston.TX,TX,US,65467310,11276769,,76744079,29.7601927,-95.3693896,24,1
25,City and County of Honolulu DOT,DTS,Honolulu,HI,US,76296597,0,,76296597,21.3069444,-157.8583333,25,1
26,Port Authority of NY & NJ,PATH,Jersey City,NJ,US,0,73867504,,73867504,40.7281575,-74.0776417,26,1
27,Metra,,Chicago,IL,US,0,73251800,,73251800,41.8781136,-87.6297982,27,1
28,Dallas Area Rapid Transit,DART,Dallas,TX,US,38378872,29906033,,68284905,32.7801399,-96.8004511,28,1
29,Port Authority of Allegheny County,Port Authority,Pittsburgh,PA,US,55704706,8379760,,64084466,40.4406248,-79.9958864,29,1
